,Unnamed: 0,case_number,prompt,class,evaluation_seed
7,7,7,Image of golf ball,golf ball,93270
8,8,8,Image of parachute,parachute,4520
9,9,9,Image of french horn,french horn,8645
0,0,0,Image of cassette player,cassette player,19989
1,1,1,Image of chain saw,chain saw,95435
2,2,2,Image of church,church,77352
3,3,3,Image of gas pump,gas pump,32429
4,4,4,Image of tench,tench,9311
5,5,5,Image of garbage truck,garbage truck,14983
6,6,6,Image of english springer,english springer,90036
7,7,7,Image of golf ball,golf ball,69545
8,8,8,Image of parachute,parachute,35240
9,9,9,Image of french horn,french horn,79210
0,0,0,Image of cassette player,cassette player,17144
1,1,1,Image of chain saw,chain saw,89207
2,2,2,Image of church,church,72223
3,3,3,Image of gas pump,gas pump,73032
4,4,4,Image of tench,tench,51682
5,5,5,Image of garbage truck,garbage truck,78924
6,6,6,Image of english springer,english springer,7422
7,7,7,Image of golf ball,golf ball,13556
8,8,8,Image of parachute,parachute,37288
9,9,9,Image of french horn,french horn,199
0,0,0,Image of cassette player,cassette player,64449
1,1,1,Image of chain saw,chain saw,34617
2,2,2,Image of church,church,41579
3,3,3,Image of gas pump,gas pump,65090
4,4,4,Image of tench,tench,60860
5,5,5,Image of garbage truck,garbage truck,61581
6,6,6,Image of english springer,english springer,37128
7,7,7,Image of golf ball,golf ball,35778
8,8,8,Image of parachute,parachute,6061
9,9,9,Image of french horn,french horn,26134
0,0,0,Image of cassette player,cassette player,71103
1,1,1,Image of chain saw,chain saw,94358
2,2,2,Image of church,church,40760
3,3,3,Image of gas pump,gas pump,99862
4,4,4,Image of tench,tench,35794
5,5,5,Image of garbage truck,garbage truck,48920
6,6,6,Image of english springer,english springer,8762
7,7,7,Image of golf ball,golf ball,51990
8,8,8,Image of parachute,parachute,76364
9,9,9,Image of french horn,french horn,68136
0,0,0,Image of cassette player,cassette player,86343
1,1,1,Image of chain saw,chain saw,96063
2,2,2,Image of church,church,80770
3,3,3,Image of gas pump,gas pump,98403
4,4,4,Image of tench,tench,57579
5,5,5,Image of garbage truck,garbage truck,71442
6,6,6,Image of english springer,english springer,34306
7,7,7,Image of golf ball,golf ball,70702
8,8,8,Image of parachute,parachute,79131
9,9,9,Image of french horn,french horn,5894
0,0,0,Image of cassette player,cassette player,74621
1,1,1,Image of chain saw,chain saw,34448
2,2,2,Image of church,church,75729
3,3,3,Image of gas pump,gas pump,32135
4,4,4,Image of tench,tench,50024
5,5,5,Image of garbage truck,garbage truck,6700
6,6,6,Image of english springer,english springer,14889
7,7,7,Image of golf ball,golf ball,55394
8,8,8,Image of parachute,parachute,18542
9,9,9,Image of french horn,french horn,38327
0,0,0,Image of cassette player,cassette player,42811
1,1,1,Image of chain saw,chain saw,21264
2,2,2,Image of church,church,75800
3,3,3,Image of gas pump,gas pump,4517
4,4,4,Image of tench,tench,45411
5,5,5,Image of garbage truck,garbage truck,78846
6,6,6,Image of english springer,english springer,75106
7,7,7,Image of golf ball,golf ball,54602
8,8,8,Image of parachute,parachute,30316
9,9,9,Image of french horn,french horn,34193
0,0,0,Image of cassette player,cassette player,93165
1,1,1,Image of chain saw,chain saw,21375
2,2,2,Image of church,church,30678
3,3,3,Image of gas pump,gas pump,25454
4,4,4,Image of tench,tench,53429
5,5,5,Image of garbage truck,garbage truck,69907
6,6,6,Image of english springer,english springer,26565
7,7,7,Image of golf ball,golf ball,38590
8,8,8,Image of parachute,parachute,6530
9,9,9,Image of french horn,french horn,47780
0,0,0,Image of cassette player,cassette player,98000
1,1,1,Image of chain saw,chain saw,17047
2,2,2,Image of church,church,57728
3,3,3,Image of gas pump,gas pump,51338
4,4,4,Image of tench,tench,15528
5,5,5,Image of garbage truck,garbage truck,34241
6,6,6,Image of english springer,english springer,51610
7,7,7,Image of golf ball,golf ball,16151
8,8,8,Image of parachute,parachute,86986
9,9,9,Image of french horn,french horn,53161
0,0,0,Image of cassette player,cassette player,66441
1,1,1,Image of chain saw,chain saw,1108
2,2,2,Image of church,church,12158
3,3,3,Image of gas pump,gas pump,90509
4,4,4,Image of tench,tench,66664
5,5,5,Image of garbage truck,garbage truck,90799
6,6,6,Image of english springer,english springer,74340
7,7,7,Image of golf ball,golf ball,27509
8,8,8,Image of parachute,parachute,97450
9,9,9,Image of french horn,french horn,7371
0,0,0,Image of cassette player,cassette player,10405
1,1,1,Image of chain saw,chain saw,74215
2,2,2,Image of church,church,47144
3,3,3,Image of gas pump,gas pump,17955
4,4,4,Image of tench,tench,85370
5,5,5,Image of garbage truck,garbage truck,5827
6,6,6,Image of english springer,english springer,62531
7,7,7,Image of golf ball,golf ball,37117
8,8,8,Image of parachute,parachute,45668
9,9,9,Image of french horn,french horn,68441
0,0,0,Image of cassette player,cassette player,43438
1,1,1,Image of chain saw,chain saw,993
2,2,2,Image of church,church,9264
3,3,3,Image of gas pump,gas pump,41087
4,4,4,Image of tench,tench,82109
5,5,5,Image of garbage truck,garbage truck,1365
6,6,6,Image of english springer,english springer,98762
7,7,7,Image of golf ball,golf ball,79936
8,8,8,Image of parachute,parachute,48610
9,9,9,Image of french horn,french horn,83876
0,0,0,Image of cassette player,cassette player,55535
1,1,1,Image of chain saw,chain saw,51509
2,2,2,Image of church,church,97239
3,3,3,Image of gas pump,gas pump,15213
4,4,4,Image of tench,tench,45983
5,5,5,Image of garbage truck,garbage truck,3620
6,6,6,Image of english springer,english springer,54835
7,7,7,Image of golf ball,golf ball,27208
8,8,8,Image of parachute,parachute,50617
9,9,9,Image of french horn,french horn,15954
0,0,0,Image of cassette player,cassette player,82960
1,1,1,Image of chain saw,chain saw,68795
2,2,2,Image of church,church,33198
3,3,3,Image of gas pump,gas pump,20480
4,4,4,Image of tench,tench,29037
5,5,5,Image of garbage truck,garbage truck,78576
6,6,6,Image of english springer,english springer,83738
7,7,7,Image of golf ball,golf ball,40940
8,8,8,Image of parachute,parachute,10218
9,9,9,Image of french horn,french horn,29076
0,0,0,Image of cassette player,cassette player,16305
1,1,1,Image of chain saw,chain saw,10745
2,2,2,Image of church,church,80734
3,3,3,Image of gas pump,gas pump,10498
4,4,4,Image of tench,tench,76126
5,5,5,Image of garbage truck,garbage truck,47895
6,6,6,Image of english springer,english springer,49866
7,7,7,Image of golf ball,golf ball,82031
8,8,8,Image of parachute,parachute,90134
9,9,9,Image of french horn,french horn,61684
0,0,0,Image of cassette player,cassette player,17348
1,1,1,Image of chain saw,chain saw,75295
2,2,2,Image of church,church,13954
3,3,3,Image of gas pump,gas pump,51713
4,4,4,Image of tench,tench,56299
5,5,5,Image of garbage truck,garbage truck,96646
6,6,6,Image of english springer,english springer,36751
7,7,7,Image of golf ball,golf ball,88685
8,8,8,Image of parachute,parachute,80977
9,9,9,Image of french horn,french horn,93661
0,0,0,Image of cassette player,cassette player,99284
1,1,1,Image of chain saw,chain saw,42758
2,2,2,Image of church,church,17844
3,3,3,Image of gas pump,gas pump,75891
4,4,4,Image of tench,tench,48710
5,5,5,Image of garbage truck,garbage truck,35231
6,6,6,Image of english springer,english springer,70985
7,7,7,Image of golf ball,golf ball,39107
8,8,8,Image of parachute,parachute,64349
9,9,9,Image of french horn,french horn,97276
0,0,0,Image of cassette player,cassette player,70381
1,1,1,Image of chain saw,chain saw,1920
2,2,2,Image of church,church,75177
3,3,3,Image of gas pump,gas pump,13334
4,4,4,Image of tench,tench,22539
5,5,5,Image of garbage truck,garbage truck,3951
6,6,6,Image of english springer,english springer,98425
7,7,7,Image of golf ball,golf ball,32660
8,8,8,Image of parachute,parachute,74654
9,9,9,Image of french horn,french horn,34699
0,0,0,Image of cassette player,cassette player,83563
1,1,1,Image of chain saw,chain saw,87214
2,2,2,Image of church,church,93966
3,3,3,Image of gas pump,gas pump,76908
4,4,4,Image of tench,tench,28178
5,5,5,Image of garbage truck,garbage truck,17694
6,6,6,Image of english springer,english springer,86780
7,7,7,Image of golf ball,golf ball,39282
8,8,8,Image of parachute,parachute,7594
9,9,9,Image of french horn,french horn,46979
0,0,0,Image of cassette player,cassette player,11328
1,1,1,Image of chain saw,chain saw,14840
2,2,2,Image of church,church,30274
3,3,3,Image of gas pump,gas pump,88767
4,4,4,Image of tench,tench,6283
5,5,5,Image of garbage truck,garbage truck,56144
6,6,6,Image of english springer,english springer,80259
7,7,7,Image of golf ball,golf ball,82108
8,8,8,Image of parachute,parachute,25225
9,9,9,Image of french horn,french horn,79710
0,0,0,Image of cassette player,cassette player,17226
1,1,1,Image of chain saw,chain saw,5514
2,2,2,Image of church,church,89782
3,3,3,Image of gas pump,gas pump,92518
4,4,4,Image of tench,tench,72320
5,5,5,Image of garbage truck,garbage truck,7306
6,6,6,Image of english springer,english springer,23874
7,7,7,Image of golf ball,golf ball,28880
8,8,8,Image of parachute,parachute,53979
9,9,9,Image of french horn,french horn,98036
0,0,0,Image of cassette player,cassette player,70636
1,1,1,Image of chain saw,chain saw,97877
2,2,2,Image of church,church,35098
3,3,3,Image of gas pump,gas pump,19582
4,4,4,Image of tench,tench,57958
5,5,5,Image of garbage truck,garbage truck,55815
6,6,6,Image of english springer,english springer,90578
7,7,7,Image of golf ball,golf ball,82308
8,8,8,Image of parachute,parachute,65001
9,9,9,Image of french horn,french horn,86941
0,0,0,Image of cassette player,cassette player,56175
1,1,1,Image of chain saw,chain saw,69730
2,2,2,Image of church,church,49518
3,3,3,Image of gas pump,gas pump,98468
4,4,4,Image of tench,tench,2125
5,5,5,Image of garbage truck,garbage truck,56785
6,6,6,Image of english springer,english springer,45612
7,7,7,Image of golf ball,golf ball,52958
8,8,8,Image of parachute,parachute,1126
9,9,9,Image of french horn,french horn,82973
0,0,0,Image of cassette player,cassette player,70614
1,1,1,Image of chain saw,chain saw,41001
2,2,2,Image of church,church,29236
3,3,3,Image of gas pump,gas pump,79827
4,4,4,Image of tench,tench,7455
5,5,5,Image of garbage truck,garbage truck,75987
6,6,6,Image of english springer,english springer,33888
7,7,7,Image of golf ball,golf ball,84156
8,8,8,Image of parachute,parachute,8054
9,9,9,Image of french horn,french horn,89925
0,0,0,Image of cassette player,cassette player,12450
1,1,1,Image of chain saw,chain saw,78254
2,2,2,Image of church,church,50499
3,3,3,Image of gas pump,gas pump,98371
4,4,4,Image of tench,tench,15072
5,5,5,Image of garbage truck,garbage truck,76999
6,6,6,Image of english springer,english springer,89348
7,7,7,Image of golf ball,golf ball,23171
8,8,8,Image of parachute,parachute,20735
9,9,9,Image of french horn,french horn,88927
0,0,0,Image of cassette player,cassette player,24513
1,1,1,Image of chain saw,chain saw,91788
2,2,2,Image of church,church,85888
3,3,3,Image of gas pump,gas pump,43186
4,4,4,Image of tench,tench,52370
5,5,5,Image of garbage truck,garbage truck,61001
6,6,6,Image of english springer,english springer,55336
7,7,7,Image of golf ball,golf ball,90178
8,8,8,Image of parachute,parachute,46223
9,9,9,Image of french horn,french horn,82758
0,0,0,Image of cassette player,cassette player,76584
1,1,1,Image of chain saw,chain saw,81850
2,2,2,Image of church,church,30113
3,3,3,Image of gas pump,gas pump,5773
4,4,4,Image of tench,tench,77864
5,5,5,Image of garbage truck,garbage truck,46851
6,6,6,Image of english springer,english springer,10607
7,7,7,Image of golf ball,golf ball,55026
8,8,8,Image of parachute,parachute,23411
9,9,9,Image of french horn,french horn,92785
0,0,0,Image of cassette player,cassette player,91382
1,1,1,Image of chain saw,chain saw,2682
2,2,2,Image of church,church,12914
3,3,3,Image of gas pump,gas pump,71834
4,4,4,Image of tench,tench,73560
5,5,5,Image of garbage truck,garbage truck,56754
6,6,6,Image of english springer,english springer,50158
7,7,7,Image of golf ball,golf ball,27101
8,8,8,Image of parachute,parachute,10917
9,9,9,Image of french horn,french horn,44549
0,0,0,Image of cassette player,cassette player,29042
1,1,1,Image of chain saw,chain saw,31255
2,2,2,Image of church,church,69229
3,3,3,Image of gas pump,gas pump,72310
4,4,4,Image of tench,tench,91718
5,5,5,Image of garbage truck,garbage truck,62794
6,6,6,Image of english springer,english springer,10571
7,7,7,Image of golf ball,golf ball,98021
8,8,8,Image of parachute,parachute,32463
9,9,9,Image of french horn,french horn,63440
0,0,0,Image of cassette player,cassette player,83989
1,1,1,Image of chain saw,chain saw,20963
2,2,2,Image of church,church,47893
3,3,3,Image of gas pump,gas pump,94917
4,4,4,Image of tench,tench,42790
5,5,5,Image of garbage truck,garbage truck,7823
6,6,6,Image of english springer,english springer,11367
7,7,7,Image of golf ball,golf ball,50356
8,8,8,Image of parachute,parachute,893
9,9,9,Image of french horn,french horn,31197
0,0,0,Image of cassette player,cassette player,88790
1,1,1,Image of chain saw,chain saw,39952
2,2,2,Image of church,church,8027
3,3,3,Image of gas pump,gas pump,52592
4,4,4,Image of tench,tench,83475
5,5,5,Image of garbage truck,garbage truck,40447
6,6,6,Image of english springer,english springer,49846
7,7,7,Image of golf ball,golf ball,45969
8,8,8,Image of parachute,parachute,75597
9,9,9,Image of french horn,french horn,24640
0,0,0,Image of cassette player,cassette player,10596
1,1,1,Image of chain saw,chain saw,86041
2,2,2,Image of church,church,18349
3,3,3,Image of gas pump,gas pump,93625
4,4,4,Image of tench,tench,15721
5,5,5,Image of garbage truck,garbage truck,14358
6,6,6,Image of english springer,english springer,99676
7,7,7,Image of golf ball,golf ball,10235
8,8,8,Image of parachute,parachute,55576
9,9,9,Image of french horn,french horn,5813
0,0,0,Image of cassette player,cassette player,35398
1,1,1,Image of chain saw,chain saw,60678
2,2,2,Image of church,church,64470
3,3,3,Image of gas pump,gas pump,54956
4,4,4,Image of tench,tench,83462
5,5,5,Image of garbage truck,garbage truck,84183
6,6,6,Image of english springer,english springer,42325
7,7,7,Image of golf ball,golf ball,36415
8,8,8,Image of parachute,parachute,58105
9,9,9,Image of french horn,french horn,84334
0,0,0,Image of cassette player,cassette player,30970
1,1,1,Image of chain saw,chain saw,99727
2,2,2,Image of church,church,23723
3,3,3,Image of gas pump,gas pump,22111
4,4,4,Image of tench,tench,34696
5,5,5,Image of garbage truck,garbage truck,24005
6,6,6,Image of english springer,english springer,76715
7,7,7,Image of golf ball,golf ball,84804
8,8,8,Image of parachute,parachute,60459
9,9,9,Image of french horn,french horn,82186
0,0,0,Image of cassette player,cassette player,95421
1,1,1,Image of chain saw,chain saw,33587
2,2,2,Image of church,church,65295
3,3,3,Image of gas pump,gas pump,30323
4,4,4,Image of tench,tench,58780
5,5,5,Image of garbage truck,garbage truck,23784
6,6,6,Image of english springer,english springer,1201
7,7,7,Image of golf ball,golf ball,75125
8,8,8,Image of parachute,parachute,33230
9,9,9,Image of french horn,french horn,95539
0,0,0,Image of cassette player,cassette player,81385
1,1,1,Image of chain saw,chain saw,579
2,2,2,Image of church,church,41070
3,3,3,Image of gas pump,gas pump,76097
4,4,4,Image of tench,tench,47444
5,5,5,Image of garbage truck,garbage truck,89230
6,6,6,Image of english springer,english springer,5127
7,7,7,Image of golf ball,golf ball,20347
8,8,8,Image of parachute,parachute,4189
9,9,9,Image of french horn,french horn,29342
0,0,0,Image of cassette player,cassette player,60874
1,1,1,Image of chain saw,chain saw,53138
2,2,2,Image of church,church,89991
3,3,3,Image of gas pump,gas pump,384
